Year,State,Exit Code,Reporting Period,Ages Birth through 2,Hispanic/Latino,American Indian or Alaska Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Two or More Races,R/E Total,Male,Female,Gender Total,filename
2019-2020,Oklahoma,"Part B eligible, Continuing in Part C",07/01/2019 - 06/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,data\data_file_10.csv.csv
2019-2020,Oklahoma,"Part B eligible, exiting Part C",07/01/2019 - 06/30/2020,819,27,67,14,62,2,557,90,819,583,236,819,data\data_file_10.csv.csv
2019-2020,Oklahoma,Total number exiting,07/01/2019 - 06/30/2020,2980,74,206,69,249,9,2045,328,2980,1952,1028,2980,data\data_file_10.csv.csv
2019-2020,Oklahoma,Withdrawal by parent,07/01/2019 - 06/30/2020,535,11,40,15,38,2,375,54,535,345,190,535,data\data_file_10.csv.csv
2019-2020,Oregon,Attempts to contact unsuccessful,07/01/2019 - 06/30/2020,311,88,9,8,10,3,187,6,311,203,108,311,data\data_file_10.csv.csv
2019-2020,Oregon,Completion of IFSP prior to max age,07/01/2019 - 06/30/2020,129,19,3,3,0,0,98,6,129,79,50,129,data\data_file_10.csv.csv
2019-2020,Oregon,Deceased,07/01/2019 - 06/30/2020,4,1,0,0,1,0,1,1,4,3,1,4,data\data_file_10.csv.csv
2019-2020,Oregon,Moved out of state,07/01/2019 - 06/30/2020,164,26,2,17,6,2,100,11,164,111,53,164,data\data_file_10.csv.csv
2019-2020,Oregon,Not eligible Part B - exit to other program,07/01/2019 - 06/30/2020,36,8,1,2,0,0,23,2,36,23,13,36,data\data_file_10.csv.csv
2019-2020,Oregon,Not eligible Part B - exit with no referrals,07/01/2019 - 06/30/2020,192,40,0,6,1,0,135,10,192,116,76,192,data\data_file_10.csv.csv
2019-2020,Oregon,Part B eligibility not determined,07/01/2019 - 06/30/2020,76,20,0,2,1,0,49,4,76,48,28,76,data\data_file_10.csv.csv
2019-2020,Oregon,"Part B eligible, Continuing in Part C",07/01/2019 - 06/30/2020,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_10.csv.csv
2019-2020,Oregon,"Part B eligible, exiting Part C",07/01/2019 - 06/30/2020,2237,544,28,76,59,10,1380,140,2237,1574,663,2237,data\data_file_10.csv.csv
2019-2020,Oregon,Total number exiting,07/01/2019 - 06/30/2020,3855,865,45,140,101,20,2452,232,3855,2571,1284,3855,data\data_file_10.csv.csv
2019-2020,Oregon,Withdrawal by parent,07/01/2019 - 06/30/2020,706,119,2,26,23,5,479,52,706,414,292,706,data\data_file_10.csv.csv
2019-2020,Pennsylvania,Attempts to contact unsuccessful,07/01/2019 - 06/30/2020,1320,267,3,17,369,0,537,127,1320,811,509,1320,data\data_file_10.csv.csv
2019-2020,Pennsylvania,Completion of IFSP prior to max age,07/01/2019 - 06/30/2020,5696,456,8,157,332,3,4252,488,5696,3307,2389,5696,data\data_file_10.csv.csv
2019-2020,Pennsylvania,Deceased,07/01/2019 - 06/30/2020,34,3,0,1,5,0,18,7,34,20,14,34,data\data_file_10.csv.csv
2019-2020,Pennsylvania,Moved out of state,07/01/2019 - 06/30/2020,532,106,3,51,68,3,250,51,532,327,205,532,data\data_file_10.csv.csv
2019-2020,Pennsylvania,Not eligible Part B - exit to other program,07/01/2019 - 06/30/2020,322,38,0,8,59,0,191,26,322,213,109,322,data\data_file_10.csv.csv
2019-2020,Pennsylvania,Not eligible Part B - exit with no referrals,07/01/2019 - 06/30/2020,391,50,0,11,21,0,276,33,391,274,117,391,data\data_file_10.csv.csv
2019-2020,Pennsylvania,Part B eligibility not determined,07/01/2019 - 06/30/2020,2527,448,7,78,508,2,1302,182,2527,1718,809,2527,data\data_file_10.csv.csv
2019-2020,Pennsylvania,"Part B eligible, Continuing in Part C",07/01/2019 - 06/30/2020,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_10.csv.csv
2019-2020,Pennsylvania,"Part B eligible, exiting Part C",07/01/2019 - 06/30/2020,9153,1675,20,325,1344,4,5185,600,9153,6419,2734,9153,data\data_file_10.csv.csv
2019-2020,Pennsylvania,Total number exiting,07/01/2019 - 06/30/2020,21949,3387,46,744,3013,13,13060,1686,21949,14328,7621,21949,data\data_file_10.csv.csv
2019-2020,Pennsylvania,Withdrawal by parent,07/01/2019 - 06/30/2020,1974,344,5,96,307,1,1049,172,1974,1239,735,1974,data\data_file_10.csv.csv
2019-2020,Puerto Rico,Attempts to contact unsuccessful,07/01/2019 - 06/30/2020,182,182,0,0,0,0,0,0,182,118,64,182,data\data_file_10.csv.csv
2019-2020,Puerto Rico,Completion of IFSP prior to max age,07/01/2019 - 06/30/2020,463,463,0,0,0,0,0,0,463,285,178,463,data\data_file_10.csv.csv
2019-2020,Puerto Rico,Deceased,07/01/2019 - 06/30/2020,8,8,0,0,0,0,0,0,8,5,3,8,data\data_file_10.csv.csv
2019-2020,Puerto Rico,Moved out of state,07/01/2019 - 06/30/2020,163,163,0,0,0,0,0,0,163,104,59,163,data\data_file_10.csv.csv
2019-2020,Puerto Rico,Not eligible Part B - exit to other program,07/01/2019 - 06/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,data\data_file_10.csv.csv
2019-2020,Puerto Rico,Not eligible Part B - exit with no referrals,07/01/2019 - 06/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,data\data_file_10.csv.csv
2019-2020,Puerto Rico,Part B eligibility not determined,07/01/2019 - 06/30/2020,1122,1122,0,0,0,0,0,0,1122,790,332,1122,data\data_file_10.csv.csv
2019-2020,Puerto Rico,"Part B eligible, Continuing in Part C",07/01/2019 - 06/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,data\data_file_10.csv.csv
2019-2020,Puerto Rico,"Part B eligible, exiting Part C",07/01/2019 - 06/30/2020,505,505,0,0,0,0,0,0,505,347,158,505,data\data_file_10.csv.csv
2019-2020,Puerto Rico,Total number exiting,07/01/2019 - 06/30/2020,2639,2639,0,0,0,0,0,0,2639,1765,874,2639,data\data_file_10.csv.csv
2019-2020,Puerto Rico,Withdrawal by parent,07/01/2019 - 06/30/2020,196,196,0,0,0,0,0,0,196,116,80,196,data\data_file_10.csv.csv
2019-2020,Rhode Island,Attempts to contact unsuccessful,07/01/2019 - 06/30/2020,223,92,x,6,22,x,94,8,223,131,92,223,data\data_file_10.csv.csv
2019-2020,Rhode Island,Completion of IFSP prior to max age,07/01/2019 - 06/30/2020,387,87,x,10,21,x,255,10,387,217,170,387,data\data_file_10.csv.csv
2019-2020,Rhode Island,Deceased,07/01/2019 - 06/30/2020,5,2,x,0,0,x,3,0,5,2,3,5,data\data_file_10.csv.csv
2019-2020,Rhode Island,Moved out of state,07/01/2019 - 06/30/2020,91,25,x,4,7,x,51,3,91,62,29,91,data\data_file_10.csv.csv
2019-2020,Rhode Island,Not eligible Part B - exit to other program,07/01/2019 - 06/30/2020,148,59,x,4,8,x,72,5,148,94,54,148,data\data_file_10.csv.csv
2019-2020,Rhode Island,Not eligible Part B - exit with no referrals,07/01/2019 - 06/30/2020,106,29,x,4,7,x,62,2,106,71,35,106,data\data_file_10.csv.csv
2019-2020,Rhode Island,Part B eligibility not determined,07/01/2019 - 06/30/2020,195,82,x,2,18,x,87,5,195,134,61,195,data\data_file_10.csv.csv
2019-2020,Rhode Island,"Part B eligible, Continuing in Part C",07/01/2019 - 06/30/2020,0,0,x,0,0,x,0,0,0,0,0,0,data\data_file_10.csv.csv
2019-2020,Rhode Island,"Part B eligible, exiting Part C",07/01/2019 - 06/30/2020,767,239,x,17,56,x,424,29,767,547,220,767,data\data_file_10.csv.csv
2019-2020,Rhode Island,Total number exiting,07/01/2019 - 06/30/2020,2210,702,x,60,160,x,1203,72,2210,1424,786,2210,data\data_file_10.csv.csv
2019-2020,Rhode Island,Withdrawal by parent,07/01/2019 - 06/30/2020,288,87,x,13,21,x,155,10,288,166,122,288,data\data_file_10.csv.csv
2019-2020,South Carolina,Attempts to contact unsuccessful,07/01/2019 - 06/30/2020,495,32,1,7,195,0,201,59,495,299,196,495,data\data_file_10.csv.csv
2019-2020,South Carolina,Completion of IFSP prior to max age,07/01/2019 - 06/30/2020,387,21,0,4,84,0,263,15,387,222,165,387,data\data_file_10.csv.csv
2019-2020,South Carolina,Deceased,07/01/2019 - 06/30/2020,14,0,0,1,5,0,5,3,14,9,5,14,data\data_file_10.csv.csv
2019-2020,South Carolina,Moved out of state,07/01/2019 - 06/30/2020,195,24,2,5,37,0,112,15,195,115,80,195,data\data_file_10.csv.csv
2019-2020,South Carolina,Not eligible Part B - exit to other program,07/01/2019 - 06/30/2020,457,57,2,0,134,1,234,29,457,294,163,457,data\data_file_10.csv.csv
2019-2020,South Carolina,Not eligible Part B - exit with no referrals,07/01/2019 - 06/30/2020,600,67,4,6,139,2,338,44,600,382,218,600,data\data_file_10.csv.csv
2019-2020,South Carolina,Part B eligibility not determined,07/01/2019 - 06/30/2020,967,96,0,5,291,0,512,63,967,668,299,967,data\data_file_10.csv.csv
2019-2020,South Carolina,"Part B eligible, Continuing in Part C",07/01/2019 - 06/30/2020,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_10.csv.csv
2019-2020,South Carolina,"Part B eligible, exiting Part C",07/01/2019 - 06/30/2020,1703,173,3,25,530,3,848,121,1703,1207,496,1703,data\data_file_10.csv.csv
2019-2020,South Carolina,Total number exiting,07/01/2019 - 06/30/2020,5576,548,13,65,1578,9,2947,416,5576,3673,1903,5576,data\data_file_10.csv.csv
2019-2020,South Carolina,Withdrawal by parent,07/01/2019 - 06/30/2020,758,78,1,12,163,3,434,67,758,477,281,758,data\data_file_10.csv.csv
2019-2020,South Dakota,Attempts to contact unsuccessful,07/01/2019 - 06/30/2020,53,7,19,0,1,1,21,4,53,34,19,53,data\data_file_10.csv.csv
2019-2020,South Dakota,Completion of IFSP prior to max age,07/01/2019 - 06/30/2020,171,8,6,1,0,0,154,2,171,98,73,171,data\data_file_10.csv.csv
2019-2020,South Dakota,Deceased,07/01/2019 - 06/30/2020,4,1,0,0,0,0,2,1,4,1,3,4,data\data_file_10.csv.csv
2019-2020,South Dakota,Moved out of state,07/01/2019 - 06/30/2020,34,6,2,1,3,0,20,2,34,21,13,34,data\data_file_10.csv.csv
2019-2020,South Dakota,Not eligible Part B - exit to other program,07/01/2019 - 06/30/2020,102,5,12,1,1,0,78,5,102,59,43,102,data\data_file_10.csv.csv
2019-2020,South Dakota,Not eligible Part B - exit with no referrals,07/01/2019 - 06/30/2020,64,4,10,0,0,0,44,6,64,42,22,64,data\data_file_10.csv.csv
2019-2020,South Dakota,Part B eligibility not determined,07/01/2019 - 06/30/2020,77,2,12,0,0,2,57,4,77,50,27,77,data\data_file_10.csv.csv
2019-2020,South Dakota,"Part B eligible, Continuing in Part C",07/01/2019 - 06/30/2020,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_10.csv.csv
2019-2020,South Dakota,"Part B eligible, exiting Part C",07/01/2019 - 06/30/2020,480,42,77,11,17,1,299,33,480,355,125,480,data\data_file_10.csv.csv
2019-2020,South Dakota,Total number exiting,07/01/2019 - 06/30/2020,1030,79,147,15,24,4,701,60,1030,686,344,1030,data\data_file_10.csv.csv
2019-2020,South Dakota,Withdrawal by parent,07/01/2019 - 06/30/2020,45,4,9,1,2,0,26,3,45,26,19,45,data\data_file_10.csv.csv
2019-2020,Tennessee,Attempts to contact unsuccessful,07/01/2019 - 06/30/2020,601,64,1,3,201,1,303,28,601,370,231,601,data\data_file_10.csv.csv
2019-2020,Tennessee,Completion of IFSP prior to max age,07/01/2019 - 06/30/2020,139,13,1,0,25,1,97,2,139,78,61,139,data\data_file_10.csv.csv
2019-2020,Tennessee,Deceased,07/01/2019 - 06/30/2020,15,2,0,0,4,0,9,0,15,10,5,15,data\data_file_10.csv.csv
2019-2020,Tennessee,Moved out of state,07/01/2019 - 06/30/2020,277,22,3,11,44,3,181,13,277,173,104,277,data\data_file_10.csv.csv
2019-2020,Tennessee,Not eligible Part B - exit to other program,07/01/2019 - 06/30/2020,342,36,0,19,58,0,220,9,342,216,126,342,data\data_file_10.csv.csv
2019-2020,Tennessee,Not eligible Part B - exit with no referrals,07/01/2019 - 06/30/2020,190,16,0,3,22,1,140,8,190,108,82,190,data\data_file_10.csv.csv
2019-2020,Tennessee,Part B eligibility not determined,07/01/2019 - 06/30/2020,2336,288,6,62,465,6,1414,95,2336,1594,742,2336,data\data_file_10.csv.csv
2019-2020,Tennessee,"Part B eligible, Continuing in Part C",07/01/2019 - 06/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,data\data_file_10.csv.csv
2019-2020,Tennessee,"Part B eligible, exiting Part C",07/01/2019 - 06/30/2020,1737,169,3,37,260,5,1193,70,1737,1244,493,1737,data\data_file_10.csv.csv
2019-2020,Tennessee,Total number exiting,07/01/2019 - 06/30/2020,7476,783,14,173,1356,23,4824,303,7476,4873,2603,7476,data\data_file_10.csv.csv
2019-2020,Tennessee,Withdrawal by parent,07/01/2019 - 06/30/2020,1839,173,0,38,277,6,1267,78,1839,1080,759,1839,data\data_file_10.csv.csv
2019-2020,Texas,Attempts to contact unsuccessful,09/01/2019 - 08/31/2020,3977,2348,0,74,451,3,1077,24,3977,2510,1467,3977,data\data_file_10.csv.csv
2019-2020,Texas,Completion of IFSP prior to max age,09/01/2019 - 08/31/2020,3446,1621,9,52,278,3,1449,34,3446,1957,1489,3446,data\data_file_10.csv.csv
2019-2020,Texas,Deceased,09/01/2019 - 08/31/2020,64,31,1,1,7,0,24,0,64,29,35,64,data\data_file_10.csv.csv
2019-2020,Texas,Moved out of state,09/01/2019 - 08/31/2020,779,358,3,35,77,1,296,9,779,497,282,779,data\data_file_10.csv.csv
2019-2020,Texas,Not eligible Part B - exit to other program,09/01/2019 - 08/31/2020,654,379,0,9,56,0,206,4,654,419,235,654,data\data_file_10.csv.csv
2019-2020,Texas,Not eligible Part B - exit with no referrals,09/01/2019 - 08/31/2020,448,229,1,18,24,1,171,4,448,280,168,448,data\data_file_10.csv.csv
2019-2020,Texas,Part B eligibility not determined,09/01/2019 - 08/31/2020,5553,3204,5,137,508,4,1652,43,5553,3882,1671,5553,data\data_file_10.csv.csv
2019-2020,Texas,"Part B eligible, Continuing in Part C",09/01/2019 - 08/31/2020,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_10.csv.csv
2019-2020,Texas,"Part B eligible, exiting Part C",09/01/2019 - 08/31/2020,7857,4129,14,251,659,11,2713,80,7857,5464,2393,7857,data\data_file_10.csv.csv
2019-2020,Texas,Total number exiting,09/01/2019 - 08/31/2020,29770,15822,46,839,2609,31,10168,255,29770,19413,10357,29770,data\data_file_10.csv.csv
2019-2020,Texas,Withdrawal by parent,09/01/2019 - 08/31/2020,6992,3523,13,262,549,8,2580,57,6992,4375,2617,6992,data\data_file_10.csv.csv
2019-2020,Utah,Attempts to contact unsuccessful,07/01/2019 - 06/30/2020,204,70,1,1,5,6,110,11,204,132,72,204,data\data_file_10.csv.csv
2019-2020,Utah,Completion of IFSP prior to max age,07/01/2019 - 06/30/2020,218,34,0,2,1,3,172,6,218,129,89,218,data\data_file_10.csv.csv
2019-2020,Utah,Deceased,07/01/2019 - 06/30/2020,10,3,0,0,0,1,6,0,10,7,3,10,data\data_file_10.csv.csv
2019-2020,Utah,Moved out of state,07/01/2019 - 06/30/2020,180,40,4,6,8,1,113,8,180,119,61,180,data\data_file_10.csv.csv
2019-2020,Utah,Not eligible Part B - exit to other program,07/01/2019 - 06/30/2020,97,31,1,0,1,0,59,5,97,60,37,97,data\data_file_10.csv.csv
2019-2020,Utah,Not eligible Part B - exit with no referrals,07/01/2019 - 06/30/2020,332,68,3,5,2,3,247,4,332,231,101,332,data\data_file_10.csv.csv
2019-2020,Utah,Part B eligibility not determined,07/01/2019 - 06/30/2020,736,207,9,9,13,5,482,11,736,503,233,736,data\data_file_10.csv.csv
2019-2020,Utah,"Part B eligible, Continuing in Part C",07/01/2019 - 06/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,data\data_file_10.csv.csv
2019-2020,Utah,"Part B eligible, exiting Part C",07/01/2019 - 06/30/2020,1988,395,20,20,20,21,1438,74,1988,1393,595,1988,data\data_file_10.csv.csv
2019-2020,Utah,Total number exiting,07/01/2019 - 06/30/2020,5019,1080,46,62,58,55,3563,155,5019,3316,1703,5019,data\data_file_10.csv.csv
2019-2020,Utah,Withdrawal by parent,07/01/2019 - 06/30/2020,1254,232,8,19,8,15,936,36,1254,742,512,1254,data\data_file_10.csv.csv
2019-2020,Vermont,Attempts to contact unsuccessful,12/02/2018 - 12/01/2019,49,0,1,2,0,0,43,3,49,29,20,49,data\data_file_10.csv.csv
2019-2020,Vermont,Completion of IFSP prior to max age,12/02/2018 - 12/01/2019,225,3,0,5,0,0,202,15,225,128,97,225,data\data_file_10.csv.csv
2019-2020,Vermont,Deceased,12/02/2018 - 12/01/2019,3,0,0,0,0,0,2,1,3,2,1,3,data\data_file_10.csv.csv
2019-2020,Vermont,Moved out of state,12/02/2018 - 12/01/2019,37,0,0,1,0,0,30,6,37,22,15,37,data\data_file_10.csv.csv
2019-2020,Vermont,Not eligible Part B - exit to other program,12/02/2018 - 12/01/2019,26,0,0,1,0,0,23,2,26,16,10,26,data\data_file_10.csv.csv
2019-2020,Vermont,Not eligible Part B - exit with no referrals,12/02/2018 - 12/01/2019,49,2,0,1,0,0,41,5,49,34,15,49,data\data_file_10.csv.csv
2019-2020,Vermont,Part B eligibility not determined,12/02/2018 - 12/01/2019,1,0,0,0,1,0,0,0,1,1,0,1,data\data_file_10.csv.csv
2019-2020,Vermont,"Part B eligible, Continuing in Part C",12/02/2018 - 12/01/2019,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_10.csv.csv
2019-2020,Vermont,"Part B eligible, exiting Part C",12/02/2018 - 12/01/2019,591,13,2,16,16,0,509,35,591,378,213,591,data\data_file_10.csv.csv
2019-2020,Vermont,Total number exiting,12/02/2018 - 12/01/2019,1075,18,3,32,18,0,931,73,1075,660,415,1075,data\data_file_10.csv.csv
2019-2020,Vermont,Withdrawal by parent,12/02/2018 - 12/01/2019,94,0,0,6,1,0,81,6,94,50,44,94,data\data_file_10.csv.csv
2019-2020,Virgin Islands,Attempts to contact unsuccessful,10/01/2019 - 09/30/2020,19,2,0,0,16,0,0,1,19,10,9,19,data\data_file_10.csv.csv
2019-2020,Virgin Islands,Completion of IFSP prior to max age,10/01/2019 - 09/30/2020,4,0,0,0,2,0,0,2,4,2,2,4,data\data_file_10.csv.csv
2019-2020,Virgin Islands,Deceased,10/01/2019 - 09/30/2020,1,0,0,0,1,0,0,0,1,1,0,1,data\data_file_10.csv.csv
2019-2020,Virgin Islands,Moved out of state,10/01/2019 - 09/30/2020,8,0,0,0,6,0,0,2,8,4,4,8,data\data_file_10.csv.csv
2019-2020,Virgin Islands,Not eligible Part B - exit to other program,10/01/2019 - 09/30/2020,11,1,0,0,10,0,0,0,11,9,2,11,data\data_file_10.csv.csv
2019-2020,Virgin Islands,Not eligible Part B - exit with no referrals,10/01/2019 - 09/30/2020,9,1,0,0,6,0,2,0,9,8,1,9,data\data_file_10.csv.csv
2019-2020,Virgin Islands,Part B eligibility not determined,10/01/2019 - 09/30/2020,7,1,0,0,5,0,0,1,7,4,3,7,data\data_file_10.csv.csv
2019-2020,Virgin Islands,"Part B eligible, Continuing in Part C",10/01/2019 - 09/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,data\data_file_10.csv.csv
2019-2020,Virgin Islands,"Part B eligible, exiting Part C",10/01/2019 - 09/30/2020,37,6,0,0,24,0,3,4,37,29,8,37,data\data_file_10.csv.csv
2019-2020,Virgin Islands,Total number exiting,10/01/2019 - 09/30/2020,112,13,0,0,83,0,6,10,112,76,36,112,data\data_file_10.csv.csv
2019-2020,Virgin Islands,Withdrawal by parent,10/01/2019 - 09/30/2020,16,2,0,0,13,0,1,0,16,9,7,16,data\data_file_10.csv.csv
2019-2020,Virginia,Attempts to contact unsuccessful,12/02/2018 - 12/01/2019,810,85,1,30,239,2,362,91,810,493,317,810,data\data_file_10.csv.csv
2019-2020,Virginia,Completion of IFSP prior to max age,12/02/2018 - 12/01/2019,1643,168,2,54,186,1,1063,169,1643,910,733,1643,data\data_file_10.csv.csv
2019-2020,Virginia,Deceased,12/02/2018 - 12/01/2019,33,5,0,3,13,0,11,1,33,12,21,33,data\data_file_10.csv.csv
2019-2020,Virginia,Moved out of state,12/02/2018 - 12/01/2019,613,95,0,56,76,1,310,75,613,393,220,613,data\data_file_10.csv.csv
2019-2020,Virginia,Not eligible Part B - exit to other program,12/02/2018 - 12/01/2019,732,71,0,32,174,1,388,66,732,461,271,732,data\data_file_10.csv.csv
2019-2020,Virginia,Not eligible Part B - exit with no referrals,12/02/2018 - 12/01/2019,1095,145,0,58,176,0,597,119,1095,709,386,1095,data\data_file_10.csv.csv
2019-2020,Virginia,Part B eligibility not determined,12/02/2018 - 12/01/2019,561,76,2,24,151,1,250,57,561,403,158,561,data\data_file_10.csv.csv
2019-2020,Virginia,"Part B eligible, Continuing in Part C",12/02/2018 - 12/01/2019,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_10.csv.csv
2019-2020,Virginia,"Part B eligible, exiting Part C",12/02/2018 - 12/01/2019,2734,427,4,204,501,2,1336,260,2734,1931,803,2734,data\data_file_10.csv.csv
2019-2020,Virginia,Total number exiting,12/02/2018 - 12/01/2019,10335,1340,13,619,1828,10,5462,1063,10335,6577,3758,10335,data\data_file_10.csv.csv
2019-2020,Virginia,Withdrawal by parent,12/02/2018 - 12/01/2019,2114,268,4,158,312,2,1145,225,2114,1265,849,2114,data\data_file_10.csv.csv
2019-2020,Washington,Attempts to contact unsuccessful,07/01/2019 - 06/30/2020,642,194,15,29,49,11,293,51,642,422,220,642,data\data_file_10.csv.csv
2019-2020,Washington,Completion of IFSP prior to max age,07/01/2019 - 06/30/2020,490,92,9,24,14,3,321,27,490,259,231,490,data\data_file_10.csv.csv
2019-2020,Washington,Deceased,07/01/2019 - 06/30/2020,24,6,1,1,1,0,12,3,24,12,12,24,data\data_file_10.csv.csv
2019-2020,Washington,Moved out of state,07/01/2019 - 06/30/2020,479,92,2,48,38,5,254,40,479,296,183,479,data\data_file_10.csv.csv
2019-2020,Washington,Not eligible Part B - exit to other program,07/01/2019 - 06/30/2020,706,142,9,86,34,5,362,68,706,471,235,706,data\data_file_10.csv.csv
2019-2020,Washington,Not eligible Part B - exit with no referrals,07/01/2019 - 06/30/2020,429,84,5,26,19,2,248,45,429,251,178,429,data\data_file_10.csv.csv
2019-2020,Washington,Part B eligibility not determined,07/01/2019 - 06/30/2020,1065,267,26,53,62,18,543,96,1065,707,358,1065,data\data_file_10.csv.csv
2019-2020,Washington,"Part B eligible, Continuing in Part C",07/01/2019 - 06/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,data\data_file_10.csv.csv
2019-2020,Washington,"Part B eligible, exiting Part C",07/01/2019 - 06/30/2020,3907,1017,41,297,201,46,1991,314,3907,2665,1242,3907,data\data_file_10.csv.csv
2019-2020,Washington,Total number exiting,07/01/2019 - 06/30/2020,10195,2340,129,825,522,103,5432,844,10195,6540,3655,10195,data\data_file_10.csv.csv
2019-2020,Washington,Withdrawal by parent,07/01/2019 - 06/30/2020,2453,446,21,261,104,13,1408,200,2453,1457,996,2453,data\data_file_10.csv.csv
2019-2020,West Virginia,Attempts to contact unsuccessful,07/01/2019 - 06/30/2020,221,1,2,0,15,0,187,16,221,134,87,221,data\data_file_10.csv.csv
2019-2020,West Virginia,Completion of IFSP prior to max age,07/01/2019 - 06/30/2020,205,0,0,0,3,0,189,13,205,113,92,205,data\data_file_10.csv.csv
2019-2020,West Virginia,Deceased,07/01/2019 - 06/30/2020,7,0,0,0,1,0,6,0,7,6,1,7,data\data_file_10.csv.csv
2019-2020,West Virginia,Moved out of state,07/01/2019 - 06/30/2020,167,6,1,3,7,0,140,10,167,110,57,167,data\data_file_10.csv.csv
2019-2020,West Virginia,Not eligible Part B - exit to other program,07/01/2019 - 06/30/2020,154,2,0,0,6,0,136,10,154,94,60,154,data\data_file_10.csv.csv
2019-2020,West Virginia,Not eligible Part B - exit with no referrals,07/01/2019 - 06/30/2020,147,1,1,1,2,1,132,9,147,102,45,147,data\data_file_10.csv.csv
2019-2020,West Virginia,Part B eligibility not determined,07/01/2019 - 06/30/2020,866,5,1,11,23,4,790,32,866,552,314,866,data\data_file_10.csv.csv
2019-2020,West Virginia,"Part B eligible, Continuing in Part C",07/01/2019 - 06/30/2020,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_10.csv.csv
2019-2020,West Virginia,"Part B eligible, exiting Part C",07/01/2019 - 06/30/2020,883,14,3,11,31,0,790,34,883,626,257,883,data\data_file_10.csv.csv
2019-2020,West Virginia,Total number exiting,07/01/2019 - 06/30/2020,3742,40,8,35,121,7,3347,184,3742,2361,1381,3742,data\data_file_10.csv.csv
2019-2020,West Virginia,Withdrawal by parent,07/01/2019 - 06/30/2020,1092,11,0,9,33,2,977,60,1092,624,468,1092,data\data_file_10.csv.csv
2019-2020,Wisconsin,Attempts to contact unsuccessful,07/01/2019 - 06/30/2020,315,54,1,6,97,0,140,17,315,196,119,315,data\data_file_10.csv.csv
2019-2020,Wisconsin,Completion of IFSP prior to max age,07/01/2019 - 06/30/2020,879,100,7,17,68,0,661,26,879,504,375,879,data\data_file_10.csv.csv
2019-2020,Wisconsin,Deceased,07/01/2019 - 06/30/2020,13,0,0,1,4,0,6,2,13,10,3,13,data\data_file_10.csv.csv
2019-2020,Wisconsin,Moved out of state,07/01/2019 - 06/30/2020,121,23,0,7,17,0,68,6,121,76,45,121,data\data_file_10.csv.csv
2019-2020,Wisconsin,Not eligible Part B - exit to other program,07/01/2019 - 06/30/2020,182,27,1,4,36,0,105,9,182,110,72,182,data\data_file_10.csv.csv
2019-2020,Wisconsin,Not eligible Part B - exit with no referrals,07/01/2019 - 06/30/2020,159,20,0,3,26,0,106,4,159,98,61,159,data\data_file_10.csv.csv
2019-2020,Wisconsin,Part B eligibility not determined,07/01/2019 - 06/30/2020,1466,265,13,31,223,0,886,48,1466,995,471,1466,data\data_file_10.csv.csv
2019-2020,Wisconsin,"Part B eligible, Continuing in Part C",07/01/2019 - 06/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,data\data_file_10.csv.csv
2019-2020,Wisconsin,"Part B eligible, exiting Part C",07/01/2019 - 06/30/2020,2158,372,24,53,199,4,1442,64,2158,1462,696,2158,data\data_file_10.csv.csv
2019-2020,Wisconsin,Total number exiting,07/01/2019 - 06/30/2020,6299,990,56,151,742,4,4160,196,6299,4088,2211,6299,data\data_file_10.csv.csv
2019-2020,Wisconsin,Withdrawal by parent,07/01/2019 - 06/30/2020,1006,129,10,29,72,0,746,20,1006,637,369,1006,data\data_file_10.csv.csv
2019-2020,Wyoming,Attempts to contact unsuccessful,07/01/2019 - 06/30/2020,71,7,8,x,4,x,46,5,71,49,22,71,data\data_file_10.csv.csv
2019-2020,Wyoming,Completion of IFSP prior to max age,07/01/2019 - 06/30/2020,208,14,3,x,0,x,180,8,208,111,97,208,data\data_file_10.csv.csv
2019-2020,Wyoming,Deceased,07/01/2019 - 06/30/2020,1,0,0,x,0,x,1,0,1,0,1,1,data\data_file_10.csv.csv
2019-2020,Wyoming,Moved out of state,07/01/2019 - 06/30/2020,78,4,3,x,1,x,63,5,78,56,22,78,data\data_file_10.csv.csv
2019-2020,Wyoming,Not eligible Part B - exit to other program,07/01/2019 - 06/30/2020,49,4,3,x,0,x,42,0,49,32,17,49,data\data_file_10.csv.csv
2019-2020,Wyoming,Not eligible Part B - exit with no referrals,07/01/2019 - 06/30/2020,45,7,2,x,0,x,35,1,45,27,18,45,data\data_file_10.csv.csv
